"Big5 碼",造字圖,"IDS (請參考 http://goo.gl/3D2uoE)","IDS 動態圖片","ref 剎那字引: http://nccu.ksana.tw/kzy/",備註,,
B+985c,"{image: https://g0v.github.io/koktai/img/k/985c.png}",⿵門⿱田电,"{image: http://漢字.意傳.台灣/宋體/⿵門⿱田电.png}",,,,
B+989e,"{image: https://g0v.github.io/koktai/img/k/986e.png}",⿺辶宣,"{image: http://漢字.意傳.台灣/宋體/⿺辶宣.png}",,,,
B+9877,"{image: https://g0v.github.io/koktai/img/k/9877.png}",⿰亻緊,"{image: http://漢字.意傳.台灣/宋體/⿰亻緊.png}",,,,
B+98b0,"{image: https://g0v.github.io/koktai/img/k/98b0.png}",⿰扌,"{image: http://漢字.意傳.台灣/宋體/⿰扌.png}",,,,
B+98b7,"{image: https://g0v.github.io/koktai/img/k/98b7.png}",⿱妳心,"{image: http://漢字.意傳.台灣/宋體/⿱妳心.png}",,,,
B+98ba,"{image: https://g0v.github.io/koktai/img/k/98ba.png}",⿰女⿱二女,"{image: http://漢字.意傳.台灣/宋體/⿰女⿱二女.png}",,,,
B+98c2,"{image: https://g0v.github.io/koktai/img/k/98c2.png}",⿰米朮,"{image: http://漢字.意傳.台灣/宋體/⿰米朮.png}",,,,
B+98c7,"{image: https://g0v.github.io/koktai/img/k/98c7.png}",⿰飠憲,"{image: http://漢字.意傳.台灣/宋體/⿰飠憲.png}",,,,
B+98f2,"{image: https://g0v.github.io/koktai/img/k/98f2.png}",⿰⿱示瓜,"{image: http://漢字.意傳.台灣/宋體/⿰⿱示瓜.png}",,要找這個部件有沒有,,
B+9949,"{image: https://g0v.github.io/koktai/img/k/9949.png}",⿱汝心,"{image: http://漢字.意傳.台灣/宋體/⿱汝心.png}",,,,
B+9958,"{image: https://g0v.github.io/koktai/img/k/9958.png}",⿰片通,"{image: http://漢字.意傳.台灣/宋體/⿰片通.png}",,,,
B+9959,"{image: https://g0v.github.io/koktai/img/k/9959.png}",⿰勞力,"{image: http://漢字.意傳.台灣/宋體/⿰勞力.png}",,,,
B+9962,"{image: https://g0v.github.io/koktai/img/k/9962.png}",⿰釒⿱高禾,"{image: http://漢字.意傳.台灣/宋體/⿰釒⿱高禾.png}",,,,
B+99a2,"{image: https://g0v.github.io/koktai/img/k/99a2.png}",⿰夾甲,"{image: http://漢字.意傳.台灣/宋體/⿰夾甲.png}",,,,
B+99a3,"{image: https://g0v.github.io/koktai/img/k/99a3.png}",⿰具鳥,"{image: http://漢字.意傳.台灣/宋體/⿰具鳥.png}",,,,
B+99a9,"{image: https://g0v.github.io/koktai/img/k/99a9.png}",⿱山彔,"{image: http://漢字.意傳.台灣/宋體/⿱山彔.png}",,,,
B+99b4,"{image: https://g0v.github.io/koktai/img/k/99b4.png}",⿰忄慼,"{image: http://漢字.意傳.台灣/宋體/⿰忄慼.png}",,,,
B+99c3,"{image: https://g0v.github.io/koktai/img/k/99c3.png}",⿰虫龜,"{image: http://漢字.意傳.台灣/宋體/⿰虫龜.png}",,,,
B+99db,"{image: https://g0v.github.io/koktai/img/k/99db.png}",⿰米圓,"{image: http://漢字.意傳.台灣/宋體/⿰米圓.png}",,,,
